Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
10.4,30.3,82.0,Black,Millets,97,236,267,17-17-17
33.3,33.2,83.2,Loamy,Paddy,189,45,121,17-17-17
11.6,32.5,69.0,Black,Paddy,291,28,281,17-17-17
23.6,41.7,38.5,Sandy,Ground Nuts,294,226,231,17-17-17
43.2,49.7,86.3,Clayey,Millets,288,35,249,17-17-17
28.9,32.2,77.3,Sandy,Banana,200,72,153,17-17-17
12.6,74.6,49.6,Black,Millets,41,38,24,Urea
12.7,25.8,10.2,Black,Banana,101,274,11,DAP
21.0,80.6,87.0,Sandy,Pulses,56,79,11,DAP
40.6,74.9,74.5,Clayey,Barley,197,24,199,10-26-26
41.6,68.5,65.5,Sandy,Mango,25,287,46,Urea
34.7,89.4,24.4,Clayey,Barley,249,116,269,17-17-17
35.6,34.4,19.2,Black,Wheat,81,102,222,17-17-17
11.3,64.7,28.4,Red,Mango,97,292,130,17-17-17
28.6,53.1,42.4,Sandy,Tobacco,209,15,160,10-26-26
24.9,85.7,43.4,Black,Pulses,33,246,250,Urea
16.5,48.8,84.6,Black,Wheat,28,235,244,Urea
32.0,85.5,88.7,Loamy,Banana,64,2,176,10-26-26
26.4,42.3,78.2,Loamy,Banana,292,192,152,17-17-17
41.9,23.4,18.8,Sandy,Millets,139,292,186,17-17-17
37.5,26.7,43.4,Black,Banana,225,198,152,17-17-17
44.7,37.4,85.4,Clayey,Cotton,106,217,225,28-28
11.3,91.8,76.1,Clayey,Paddy,53,214,46,17-17-17
40.9,89.6,89.6,Clayey,Ground Nuts,177,144,61,17-17-17
15.4,81.2,28.0,Clayey,Tomato,88,97,67,17-17-17
26.0,49.3,31.8,Clayey,Oil seeds,194,169,225,17-17-17
38.3,69.1,54.1,Black,Sugarcane,123,250,37,17-17-17
35.3,57.2,16.5,Red,Potato,283,113,80,17-17-17
27.3,56.0,57.4,Loamy,Cotton,55,39,39,28-28
29.8,40.0,80.3,Black,Potato,167,58,91,17-17-17
40.4,73.1,77.0,Sandy,Paddy,169,154,190,17-17-17
36.3,31.9,80.5,Loamy,Oil seeds,30,159,22,Urea
21.7,75.8,22.9,Red,Sugarcane,205,11,76,20-20
10.2,41.5,59.4,Sandy,Oil seeds,16,187,222,Urea
10.3,81.4,20.3,Black,Banana,73,223,232,17-17-17
39.4,49.4,24.4,Clayey,Mango,277,241,195,17-17-17
43.2,32.5,71.7,Sandy,Pulses,192,119,21,DAP
11.6,85.4,87.9,Clayey,Coffee,163,226,250,17-17-17
30.8,48.8,15.3,Sandy,Barley,78,25,57,17-17-17
15.6,55.1,85.5,Black,Mango,38,284,270,Urea
34.3,36.6,16.6,Red,Barley,26,235,194,Urea
11.1,74.8,82.8,Clayey,Ground Nuts,83,146,261,17-17-17
19.6,93.8,42.7,Red,Barley,14,162,161,Urea
11.1,68.9,39.5,Red,Potato,26,59,71,Urea
16.5,85.1,72.1,Black,Banana,49,180,198,Urea
41.9,92.6,24.8,Sandy,Banana,205,235,272,17-17-17
18.7,61.9,28.0,Red,Tomato,213,71,116,17-17-17
20.9,54.1,10.9,Loamy,Banana,94,31,165,17-17-17
33.0,76.8,86.2,Sandy,Millets,266,178,213,17-17-17
13.7,38.2,88.9,Red,Tobacco,160,241,201,17-17-17
21.4,58.8,17.0,Clayey,Banana,76,153,115,17-17-17
23.9,30.0,55.4,Loamy,Sugarcane,142,122,105,17-17-17
11.1,90.2,14.2,Sandy,Sugarcane,203,177,263,17-17-17
31.9,78.8,59.0,Black,Tobacco,207,2,21,10-26-26
11.4,32.3,45.1,Loamy,Barley,11,11,86,17-17-17
15.6,85.4,27.5,Red,Mango,220,182,118,17-17-17
11.5,32.1,11.7,Black,Barley,36,130,58,Urea
12.9,50.2,27.6,Sandy,Wheat,212,23,158,20-20
24.9,45.9,39.7,Red,Coffee,151,176,49,17-17-17
28.0,64.1,12.4,Loamy,Potato,227,261,65,17-17-17
32.9,94.4,32.7,Clayey,Coffee,130,17,236,10-26-26
32.1,75.0,20.5,Red,Potato,86,13,297,10-26-26
44.0,33.6,78.4,Clayey,Oil seeds,110,230,13,DAP
22.6,64.5,23.1,Black,Oil seeds,27,162,65,Urea
33.0,44.4,71.9,Red,Mango,286,194,9,DAP
25.5,44.8,45.9,Red,Banana,256,275,132,17-17-17
30.6,91.1,30.2,Red,Coffee,120,174,106,17-17-17
33.2,55.6,77.5,Red,Millets,155,107,206,17-17-17
28.9,22.6,88.9,Sandy,Tomato,292,281,19,DAP
11.4,29.2,46.2,Clayey,Ground Nuts,160,205,178,17-17-17
34.1,49.8,48.4,Black,Ground Nuts,125,284,216,17-17-17
40.4,54.1,51.2,Loamy,Wheat,293,125,150,17-17-17
20.8,72.9,26.1,Loamy,Paddy,128,156,263,17-17-17
25.5,85.1,24.2,Loamy,Maize,118,113,217,28-28
18.5,82.3,79.2,Sandy,Coffee,288,146,0,DAP
42.9,82.0,63.4,Sandy,Pulses,219,62,191,17-17-17
44.2,50.5,79.7,Sandy,Paddy,76,97,158,17-17-17
24.1,44.5,63.4,Loamy,Sugarcane,278,88,128,17-17-17
21.5,67.3,58.8,Clayey,Cotton,92,290,223,28-28
18.0,25.5,58.3,Loamy,Sugarcane,264,84,2,DAP
40.2,58.9,48.3,Clayey,Mango,153,11,152,10-26-26
15.2,59.5,29.7,Red,Tomato,42,106,20,DAP
10.3,68.6,81.8,Sandy,Tobacco,202,270,50,17-17-17
16.9,55.9,25.6,Clayey,Tobacco,51,156,26,17-17-17
38.1,60.4,34.9,Red,Banana,145,76,1,DAP
24.5,29.1,24.5,Red,Pulses,38,70,158,Urea
20.3,79.5,24.8,Red,Tobacco,262,172,171,17-17-17
32.2,91.4,58.1,Clayey,Barley,219,8,25,10-26-26
32.6,33.1,38.9,Loamy,Millets,151,48,207,17-17-17
18.3,78.5,32.0,Black,Tobacco,59,201,166,17-17-17
38.3,77.5,22.0,Loamy,Paddy,174,107,48,17-17-17
40.2,36.3,17.7,Clayey,Tomato,159,137,10,DAP
19.0,67.4,14.7,Sandy,Sugarcane,290,84,262,17-17-17
33.7,53.2,45.7,Sandy,Maize,279,18,187,10-26-26
31.1,45.3,82.4,Clayey,Banana,35,228,231,Urea
41.3,34.4,35.9,Black,Barley,195,48,268,17-17-17
39.1,70.2,15.6,Clayey,Millets,229,49,199,17-17-17
33.8,37.3,46.5,Loamy,Wheat,171,101,257,17-17-17
29.5,74.8,47.2,Red,Pulses,35,207,286,Urea
24.3,51.7,75.7,Red,Maize,135,143,2,DAP
23.4,29.0,87.9,Clayey,Tobacco,247,285,120,17-17-17
28.2,66.8,17.1,Sandy,Paddy,271,225,37,17-17-17
12.2,28.8,28.2,Clayey,Sugarcane,257,179,248,17-17-17
19.8,90.7,79.9,Black,Barley,142,243,100,17-17-17
17.3,89.8,19.3,Loamy,Mango,290,215,157,17-17-17
28.6,74.1,21.3,Red,Banana,72,65,162,17-17-17
15.4,36.8,86.6,Loamy,Potato,265,280,24,DAP
26.8,43.5,58.5,Sandy,Banana,237,140,24,DAP
22.9,25.1,12.1,Sandy,Tomato,67,11,172,10-26-26
43.8,52.4,34.9,Red,Sugarcane,159,253,42,17-17-17
31.1,47.4,40.9,Clayey,Cotton,265,266,129,28-28
36.4,66.5,33.8,Black,Oil seeds,98,155,148,17-17-17
20.6,27.6,65.4,Red,Maize,259,102,259,28-28
18.0,37.4,27.7,Clayey,Tobacco,123,177,230,17-17-17
14.6,86.5,46.0,Clayey,Cotton,6,91,154,Urea
26.9,33.3,41.0,Clayey,Banana,182,218,61,17-17-17
24.7,79.3,56.6,Loamy,Millets,64,212,12,DAP
39.2,67.2,25.9,Clayey,Mango,159,187,163,17-17-17
32.6,57.5,31.3,Clayey,Pulses,195,51,33,17-17-17
18.5,68.9,74.9,Clayey,Tobacco,41,41,20,DAP
41.2,91.7,73.0,Sandy,Oil seeds,128,59,129,17-17-17
12.7,41.0,84.4,Red,Millets,276,202,283,17-17-17
27.3,49.0,46.0,Sandy,Tomato,172,86,68,17-17-17
33.8,23.1,16.8,Black,Maize,108,16,151,10-26-26
43.5,75.3,38.3,Red,Ground Nuts,210,50,27,17-17-17
16.1,27.4,62.8,Loamy,Barley,110,222,219,17-17-17
37.4,37.1,88.1,Loamy,Cotton,48,77,291,Urea
12.4,92.0,48.3,Loamy,Pulses,148,139,163,17-17-17
26.6,28.5,48.9,Red,Sugarcane,10,270,9,28-28
13.9,64.9,17.6,Black,Banana,123,277,113,17-17-17
19.6,89.6,64.1,Black,Banana,112,31,121,17-17-17
21.1,85.9,30.7,Loamy,Paddy,148,237,125,17-17-17
37.2,69.2,24.2,Black,Oil seeds,21,268,284,Urea
15.8,29.9,68.1,Black,Sugarcane,94,43,87,17-17-17
35.6,60.7,57.2,Black,Tomato,117,22,18,DAP
34.1,85.5,60.9,Clayey,Tomato,135,143,185,17-17-17
38.4,75.6,80.5,Red,Millets,223,230,9,DAP
31.5,71.6,40.0,Sandy,Tobacco,85,89,233,17-17-17
39.4,82.5,10.9,Sandy,Sugarcane,19,242,74,Urea
39.5,55.3,50.2,Loamy,Tobacco,110,19,131,10-26-26
37.3,36.3,21.0,Clayey,Barley,201,259,37,17-17-17
16.3,49.1,42.2,Red,Mango,13,215,2,28-28
13.6,36.9,66.2,Loamy,Banana,81,187,158,17-17-17
38.9,57.4,16.2,Clayey,Coffee,29,191,116,Urea
28.2,48.0,19.8,Sandy,Wheat,145,112,115,17-17-17
30.9,75.2,89.9,Red,Barley,300,197,160,17-17-17
32.3,78.9,19.5,Red,Ground Nuts,136,60,89,17-17-17
44.3,32.4,66.0,Clayey,Barley,50,34,244,17-17-17
25.0,85.5,77.4,Clayey,Tobacco,48,191,73,Urea
26.9,30.0,16.4,Loamy,Cotton,128,99,279,28-28
36.8,31.9,58.8,Red,Oil seeds,30,151,83,Urea
26.5,21.0,32.6,Loamy,Banana,219,219,162,17-17-17
37.5,93.1,39.7,Loamy,Oil seeds,204,43,69,17-17-17
15.5,84.0,13.7,Loamy,Pulses,20,177,195,Urea
24.4,46.1,82.0,Loamy,Potato,247,147,202,17-17-17
14.5,86.2,41.5,Loamy,Coffee,141,20,164,10-26-26
19.0,69.1,25.8,Sandy,Cotton,160,116,177,28-28
17.9,38.8,78.0,Sandy,Maize,151,60,60,28-28
40.1,74.2,15.4,Sandy,Maize,97,97,197,28-28
27.0,32.4,85.7,Sandy,Sugarcane,97,124,143,17-17-17
36.2,41.8,73.0,Red,Ground Nuts,137,191,98,17-17-17
37.8,57.3,37.2,Clayey,Tobacco,153,213,67,17-17-17
10.6,29.5,62.8,Red,Coffee,269,57,167,17-17-17
36.3,61.8,54.2,Black,Millets,43,41,96,Urea
27.4,27.9,62.5,Sandy,Ground Nuts,177,266,196,17-17-17
17.1,59.2,33.0,Red,Oil seeds,163,71,84,17-17-17
37.9,49.7,83.2,Loamy,Pulses,267,258,262,17-17-17
41.4,32.7,50.6,Red,Maize,7,175,100,Urea
15.3,53.0,59.2,Black,Potato,136,15,11,14-35-14
44.6,56.4,19.8,Clayey,Sugarcane,259,222,101,17-17-17
33.0,29.7,64.9,Black,Maize,195,153,280,28-28
12.8,74.9,25.0,Clayey,Oil seeds,133,59,210,17-17-17
21.0,55.3,75.7,Red,Oil seeds,212,225,215,17-17-17
38.7,86.0,52.0,Clayey,Coffee,247,189,217,17-17-17
35.2,51.5,82.4,Black,Tomato,74,175,278,17-17-17
30.2,75.4,74.5,Black,Cotton,288,271,211,28-28
13.7,43.6,10.3,Sandy,Tobacco,123,246,0,DAP
19.8,68.2,65.5,Sandy,Tomato,293,190,142,17-17-17
12.4,77.2,42.7,Red,Banana,38,206,251,Urea
19.1,88.0,63.7,Black,Ground Nuts,45,141,37,Urea
40.3,61.0,40.4,Black,Tobacco,280,153,269,17-17-17
43.8,29.6,66.6,Black,Cotton,274,283,200,28-28
10.6,92.2,68.1,Black,Coffee,120,119,274,17-17-17
34.6,60.6,17.7,Sandy,Potato,160,141,88,17-17-17
30.9,42.3,34.0,Sandy,Tobacco,67,1,263,10-26-26
33.4,64.5,81.4,Clayey,Banana,157,34,267,17-17-17
19.4,79.2,55.9,Clayey,Paddy,275,200,171,17-17-17
41.8,70.2,76.3,Sandy,Millets,300,173,75,17-17-17
37.1,65.1,81.4,Clayey,Barley,231,37,20,DAP
30.7,72.7,29.0,Red,Coffee,259,66,75,17-17-17
32.8,91.3,58.1,Sandy,Maize,71,261,86,28-28
41.2,20.2,13.2,Loamy,Ground Nuts,135,108,92,17-17-17
26.9,34.7,58.9,Clayey,Tobacco,176,188,140,17-17-17
10.2,20.6,27.5,Black,Tobacco,89,244,294,17-17-17
30.0,58.5,33.5,Sandy,Oil seeds,36,16,40,10-26-26
14.0,45.9,50.6,Sandy,Wheat,191,146,266,17-17-17
25.8,89.7,23.2,Red,Cotton,71,267,108,28-28
33.6,42.3,67.5,Red,Pulses,7,173,152,Urea
11.8,39.3,14.8,Red,Sugarcane,145,126,160,17-17-17
33.2,26.9,57.7,Red,Maize,224,142,242,28-28
36.2,51.0,61.7,Loamy,Sugarcane,265,50,209,17-17-17
42.0,65.9,79.9,Red,Barley,154,1,116,10-26-26
28.5,82.2,89.3,Loamy,Maize,267,300,234,28-28
24.0,88.3,74.6,Sandy,Wheat,293,276,283,17-17-17
34.2,52.2,63.8,Sandy,Paddy,121,187,29,17-17-17
17.9,48.8,46.0,Red,Tomato,40,22,62,Urea
21.2,63.7,39.7,Sandy,Barley,99,289,166,17-17-17
15.8,52.3,21.4,Sandy,Maize,46,274,147,Urea
10.9,68.4,61.0,Black,Tomato,125,63,293,17-17-17
31.2,47.3,27.4,Red,Barley,30,66,112,Urea
43.7,48.8,13.1,Black,Potato,233,261,50,17-17-17
36.5,54.4,33.1,Clayey,Pulses,124,169,36,17-17-17
23.1,55.6,45.5,Loamy,Coffee,200,76,284,17-17-17
31.2,31.4,12.5,Red,Paddy,164,41,161,17-17-17
38.9,73.2,24.2,Clayey,Banana,20,138,299,Urea
29.5,46.0,56.4,Clayey,Cotton,110,272,138,28-28
35.7,42.5,36.1,Loamy,Cotton,164,283,7,DAP
39.8,73.3,82.6,Black,Paddy,266,46,172,17-17-17
40.4,29.8,73.2,Red,Paddy,183,45,19,DAP
11.2,92.7,85.9,Loamy,Potato,107,69,235,17-17-17
30.6,48.1,32.9,Sandy,Banana,215,191,202,17-17-17
27.2,63.3,79.2,Black,Sugarcane,91,238,174,17-17-17
30.1,91.7,26.0,Sandy,Millets,115,146,224,17-17-17
20.9,39.2,12.5,Clayey,Tomato,207,21,113,10-26-26
34.1,74.2,65.4,Loamy,Potato,125,203,276,17-17-17
38.2,40.9,26.9,Sandy,Banana,162,263,18,DAP
44.8,26.7,10.2,Black,Maize,291,36,24,DAP
35.9,30.7,70.3,Clayey,Coffee,127,126,200,17-17-17
41.0,72.5,18.4,Sandy,Sugarcane,259,71,74,17-17-17
13.9,80.6,85.8,Loamy,Mango,60,122,82,17-17-17
40.4,71.1,19.0,Loamy,Pulses,143,12,187,10-26-26
33.3,35.8,79.1,Black,Millets,214,54,119,17-17-17
41.7,44.1,48.1,Sandy,Maize,232,268,157,28-28
31.1,46.8,61.8,Sandy,Wheat,22,73,31,Urea
30.5,66.9,15.7,Loamy,Banana,177,21,52,10-26-26
29.7,29.0,83.3,Loamy,Coffee,118,247,289,17-17-17
32.0,24.1,69.9,Sandy,Tomato,240,273,153,17-17-17
19.7,73.0,15.0,Loamy,Millets,156,138,155,17-17-17
38.9,29.7,55.2,Loamy,Coffee,99,82,140,17-17-17
41.8,48.3,87.1,Clayey,Maize,185,216,217,28-28
34.6,20.3,23.4,Clayey,Ground Nuts,12,23,100,Urea
36.6,91.3,66.2,Sandy,Paddy,210,292,139,17-17-17
11.7,47.0,86.5,Red,Potato,40,255,145,Urea
22.9,47.7,14.2,Sandy,Mango,209,99,228,17-17-17
39.8,35.9,62.6,Black,Barley,99,172,108,17-17-17
11.3,49.6,84.5,Red,Sugarcane,2,148,27,Urea
33.9,55.1,56.3,Clayey,Coffee,234,12,226,10-26-26
12.0,28.4,51.3,Red,Tomato,52,45,73,17-17-17
18.5,88.3,77.1,Sandy,Tobacco,137,110,162,17-17-17
21.6,88.0,31.3,Clayey,Ground Nuts,227,229,187,17-17-17
36.7,54.1,31.4,Sandy,Millets,91,282,185,17-17-17
30.1,25.7,40.6,Sandy,Sugarcane,133,152,223,17-17-17
37.1,58.8,37.8,Red,Potato,207,134,42,17-17-17
40.8,70.7,53.8,Sandy,Wheat,216,213,44,17-17-17
15.3,87.5,66.8,Clayey,Sugarcane,225,78,204,17-17-17
12.1,70.4,56.6,Sandy,Wheat,132,142,95,17-17-17
29.6,78.3,26.4,Loamy,Coffee,198,24,25,10-26-26
37.3,63.4,21.8,Clayey,Millets,67,174,48,17-17-17
42.1,41.8,47.6,Sandy,Banana,241,240,281,17-17-17
42.6,57.3,28.4,Sandy,Sugarcane,225,223,14,DAP
27.5,71.0,16.1,Loamy,Banana,201,221,222,17-17-17
29.6,84.8,48.5,Clayey,Ground Nuts,107,208,160,17-17-17
44.3,79.5,78.3,Red,Coffee,69,271,168,17-17-17
32.3,57.4,42.5,Black,Pulses,138,273,88,17-17-17
30.8,25.5,59.8,Loamy,Barley,259,284,107,17-17-17
41.8,90.8,86.8,Clayey,Potato,246,140,7,DAP
39.9,78.0,34.8,Sandy,Ground Nuts,38,186,80,Urea
43.6,77.3,78.4,Red,Oil seeds,73,100,35,17-17-17
23.2,61.4,74.4,Clayey,Millets,169,54,251,17-17-17
35.5,27.2,44.3,Sandy,Mango,140,9,172,10-26-26
41.5,31.5,89.2,Loamy,Cotton,128,88,159,28-28
36.6,47.9,41.4,Clayey,Banana,162,112,98,17-17-17
25.6,40.7,59.8,Clayey,Tobacco,180,81,90,17-17-17
33.0,38.0,25.3,Clayey,Tobacco,115,202,265,17-17-17
36.3,37.2,86.5,Loamy,Millets,236,67,220,17-17-17
30.4,52.7,56.4,Black,Coffee,281,187,108,17-17-17
25.1,87.8,77.7,Clayey,Paddy,131,83,278,17-17-17
27.4,35.4,57.3,Sandy,Potato,146,102,111,17-17-17
11.1,67.7,39.1,Loamy,Tomato,194,282,279,17-17-17
39.3,44.9,65.5,Loamy,Tobacco,289,247,180,17-17-17
20.2,89.8,41.3,Clayey,Banana,168,187,248,17-17-17
28.3,24.1,87.8,Clayey,Mango,211,178,2,DAP
11.8,34.3,34.8,Black,Tomato,238,29,168,17-17-17
21.4,73.4,75.3,Sandy,Banana,46,38,227,Urea
17.7,77.2,53.4,Sandy,Potato,58,201,286,17-17-17
10.7,40.2,51.4,Sandy,Ground Nuts,9,272,213,Urea
